title, date, location, link, category 
The UX Conference in March 2020 in London,Mon| Mar 2| 09:00,Tobacco Dock _—¢ London,https://www.eventbrite.co.uk/e/the-ux-conference-in-march-2020-in-london-tickets-68974694167?aff=ebdssbdestsearch,"business,science-and-tech"
National Landlord Investment Show - Olympia London - 19th March 2020,Thu| Mar 19| 08:30,Olympia London _—¢ London,https://www.eventbrite.com/e/national-landlord-investment-show-olympia-london-19th-march-2020-tickets-82206653313?aff=ebdssbdestsearch,business
Retail Without Borders | London | 2020,Tomorrow at 08:30,QEII Centre _—¢ London,https://www.eventbrite.co.uk/e/retail-without-borders-london-2020-tickets-81695979875?aff=ebdssbdestsearch,business
AFSIC 2020 - Investing in Africa,Tue| May 5| 13:00,Park Plaza Westminster Bridge _—¢ London,https://www.eventbrite.co.uk/e/afsic-2020-investing-in-africa-tickets-63331782065?aff=ebdssbdestsearch,business
KEVIN GREEN's| KGW Property & Business Training Day 2020,Sat| Feb 29| 10:00,Park Plaza Victoria London _—¢ London,https://www.eventbrite.co.uk/e/kevin-greens-kgw-property-business-training-day-2020-tickets-89582083423?aff=ebdssbdestsearch,business
PlanNet Marketing UK London Super Saturday,Sat| May 23| 10:00,Millennium Gloucester Hotel London Kensington _—¢ London,https://www.eventbrite.co.uk/e/plannet-marketing-uk-london-super-saturday-tickets-95112372667?aff=ebdssbdestsearch,business
Mind the Product London 2020,Fri| Oct 2| 09:00,Barbican Hall _—¢ London,https://www.eventbrite.com/e/mind-the-product-london-2020-tickets-85470674087?aff=ebdssbdestsearch,business
WIRED Health 2020,Wed| Mar 25| 08:30,Kings Place _—¢ London,https://www.eventbrite.co.uk/e/wired-health-2020-tickets-59522196492?aff=ebdssbdestsearch,"business,science-and-tech,health"
London Job Show | Careers & Job Fair,Fri| Apr 24| 11:00,Westfield London _—¢ London,https://www.eventbrite.com/e/london-job-show-careers-job-fair-tickets-81338763431?aff=ebdssbdestsearch,business
London's Calling: The Largest European Salesforce Community Event,Fri| Mar 20| 08:30,The Brewery _—¢ London,https://www.eventbrite.co.uk/e/londons-calling-the-largest-european-salesforce-community-event-tickets-76258789091?aff=ebdssbdestsearch,business
IRPM Annual Seminar 2020,Thu| May 21| 10:30,Queen Elizabeth II (QEII) Centre _—¢ London,https://www.eventbrite.co.uk/e/irpm-annual-seminar-2020-tickets-73966863881?aff=ebdssbdestsearch,business
7th Annual Commonwealth Africa Summit #CAS2020! Stronger. Valuable,Sun| Mar 8| 19:00,Holiday Inn Regents Park _—¢ London,https://www.eventbrite.co.uk/e/7th-annual-commonwealth-africa-summit-cas2020-stronger-valuable-tickets-58982376877?aff=ebdssbdestsearch,business
IoT Tech Expo Global 2020,Tue| Mar 17| 08:00,Olympia London _—¢ London,https://www.eventbrite.co.uk/e/iot-tech-expo-global-2020-tickets-61286052232?aff=ebdssbdestsearch,"business,science-and-tech"
Eric Thomas Presents:1% Club London,Sat| Mar 7| 08:00,Lancaster Terrace _—¢ London,https://www.eventbrite.com/e/eric-thomas-presents1-club-london-tickets-82874432659?aff=ebdssbdestsearch,business
Gary Vaynerchuk in London 2020,Tue| May 5| 09:00,ILEC Conference Center _—¢ London,https://www.eventbrite.co.uk/e/gary-vaynerchuk-in-london-2020-tickets-86713904623?aff=ebdssbdestsearch,business
Îç ESCP London Campus Student Annual Gala Dinner 2020 Îç,Fri| Mar 6| 19:00,The Landmark London 5* _—¢ London,https://www.eventbrite.co.uk/e/escp-london-campus-student-annual-gala-dinner-2020-tickets-88503294737?aff=ebdssbdestsearch,business
EMEA Trading Conference 2020,Thu| Mar 12| 08:00,Old Billingsgate _—¢ London,https://www.eventbrite.co.uk/e/emea-trading-conference-2020-tickets-63851533656?aff=ebdssbdestsearch,business
Sedex Conference Europe 2020,Wed| Mar 18| 08:00,The Brewery _—¢ London,https://www.eventbrite.co.uk/e/sedex-conference-europe-2020-tickets-77107497601?aff=ebdssbdestsearch,business
CIOL Conference 2020,Fri| Mar 6| 09:00,BMA House _—¢ London,https://www.eventbrite.co.uk/e/ciol-conference-2020-tickets-71633809653?aff=ebdssbdestsearch,business
Spring Data Conference (South) - 27/03/20 - London,Fri| Mar 27| 10:00,etc venues St Paul's,https://www.eventbrite.co.uk/e/spring-data-conference-south-270320-london-registration-89741552399?aff=ebdssbdestsearch,business
Meyler Campbell Spring Conference 2020,Tue| Mar 31| 08:30,Royal College of Physicians _—¢ London,https://www.eventbrite.co.uk/e/meyler-campbell-spring-conference-2020-tickets-75833224215?aff=ebdssbdestsearch,business
#SheStartedIt LIVE 2020: Festival of Female Empowerment,Fri| Mar 13| 09:30,Crypt on the Green _—¢ London,https://www.eventbrite.co.uk/e/shestartedit-live-2020-festival-of-female-empowerment-tickets-83535497923?aff=ebdssbdestsearch,business
App Promotion Summit London 2020,Thu| Apr 2| 09:00,London Marriott Hotel Grosvenor Square _—¢ London,https://www.eventbrite.com/e/app-promotion-summit-london-2020-registration-65176759442?aff=ebdssbdestsearch,"business,science-and-tech"
National Career Guidance Show London 2020,Tue| Mar 17| 09:30,Olympia London _—¢ London,https://www.eventbrite.co.uk/e/national-career-guidance-show-london-2020-registration-66550025919?aff=ebdssbdestsearch,business
2020 ESA Awards CEREMONY,Today at 18:00,The Brewery _—¢ London,https://www.eventbrite.co.uk/e/2020-esa-awards-ceremony-tickets-64059585946?aff=ebdssbdestsearch,business
GCVA Conference 2020,Wed| Mar 4| 09:00,Leonardo Royal London Tower Bridge _—¢ London,https://www.eventbrite.co.uk/e/gcva-conference-2020-tickets-69169581079?aff=ebdssbdestsearch,business
SVPG Workshop - How To Create Products Customers Love - London - Apr 22-23|...,Wed| Apr 22| 09:00,Wallacespace Spitalfields _—¢ London,https://www.eventbrite.com/e/svpg-workshop-how-to-create-products-customers-love-london-apr-22-23-2020-tickets-79450046227?aff=ebdssbdestsearch,business
London Tech Job Fair Spring 2020 by Techmeetups,Tomorrow at 19:30,Central Foundation Boys_—È School _—¢ London,https://www.eventbrite.co.uk/e/london-tech-job-fair-spring-2020-by-techmeetups-tickets-74390771801?aff=ebdssbdestsearch,"business,science-and-tech"
2020 UK Employee Engagement Conference,Wed| Apr 1| 08:30,Kia Oval _—¢ Kennington| Oval,https://www.eventbrite.co.uk/e/2020-uk-employee-engagement-conference-tickets-84862358599?aff=ebdssbdestsearch,"business,community"
#Empathy2020 - The Rebels' Guide to Innovation and Renovation,Thu| Mar 12| 09:30,Cecil Sharp House _—¢ London,https://www.eventbrite.co.uk/e/empathy2020-the-rebels-guide-to-innovation-and-renovation-tickets-77982031355?aff=ebdssbdestsearch,business
Newcomen Neurodevelopmental Regional Study Day,Today at 09:00,Governor's Hall _—¢ London,https://www.eventbrite.co.uk/e/newcomen-neurodevelopmental-regional-study-day-tickets-82818052023?aff=ebdssbdestsearch,business
The Customer Conference London 2020,Thu| Mar 12| 08:30,One Moorgate Place _—¢ London,https://www.eventbrite.ie/e/the-customer-conference-london-2020-tickets-86997125745?aff=ebdssbdestsearch,business
Barber Bash London - Education| Barber Culture & Socialising,Sun| Mar 8| 13:00,Oval Space _—¢ London,https://www.eventbrite.co.uk/e/barber-bash-london-education-barber-culture-socialising-tickets-78961900169?aff=ebdssbdestsearch,business
Customer + User Experience Expo,Wed| Mar 18| 10:00,ExCeL London _—¢ London,https://www.eventbrite.co.uk/e/customer-user-experience-expo-tickets-83966073787?aff=ebdssbdestsearch,"business,science-and-tech"
Employee Wellbeing Conference,Thu| Mar 12| 08:15,Park Plaza Hotel| Victoria London _—¢ London,https://www.eventbrite.co.uk/e/employee-wellbeing-conference-tickets-60865156321?aff=ebdssbdestsearch,"business,community"
RIBA Future Leaders 2020: Developing a Leadership Mindset,Thu| Mar 26| 13:00,Royal Institute of British Architects _—¢ London,https://www.eventbrite.co.uk/e/riba-future-leaders-2020-developing-a-leadership-mindset-tickets-91752116049?aff=ebdssbdestsearch,business
Transforming an Organisation's People Strategy and Culture: Insights From t...,Wed| Mar 18| 18:30,Kingston Business School _—¢ Lawley Lecture Theatre,https://www.eventbrite.co.uk/e/transforming-an-organisations-people-strategy-and-culture-insights-from-the-c-suite-tickets-82230482587?aff=ebdssbdestsearch,business
The Business of Cities & The DNA of Cities,Mon| Apr 20| 18:15,Gustave Tuck Lecture Theatre _—¢ London,https://www.eventbrite.co.uk/e/the-business-of-cities-the-dna-of-cities-tickets-76027830287?aff=ebdssbdestsearch,"business,arts"
Women in Business Masterclass,Fri| Mar 13| 09:30,Corinthia London _—¢ London,https://www.eventbrite.co.uk/e/women-in-business-masterclass-tickets-83131774375?aff=ebdssbdestsearch,"business,community"
NatWest SE100 Social Business Awards 2020,Thu| Mar 26| 17:30,NatWest/RBS _—¢ London,https://www.eventbrite.co.uk/e/natwest-se100-social-business-awards-2020-tickets-87434160929?aff=ebdssbdestsearch,business
Dental Innovation Symposium 2020,Fri| May 1| 09:00,Pullman London St Pancras Hotel _—¢ London,https://www.eventbrite.co.uk/e/dental-innovation-symposium-2020-tickets-71634694299?aff=ebdssbdestsearch,"business,science-and-tech"
Lifestyle Medicine for Preventing and Treating Chronic Disease GP Event,Thu| Mar 5| 12:30,Auditorium _—¢ London,https://www.eventbrite.co.uk/e/lifestyle-medicine-for-preventing-and-treating-chronic-disease-gp-event-tickets-83771523883?aff=ebdssbdestsearch,business
Women in Family Law - Launch Event,Fri| Mar 13| 18:00,Gray's Inn _—¢ London,https://www.eventbrite.co.uk/e/women-in-family-law-launch-event-tickets-90770969413?aff=ebdssbdestsearch,business
London Market Actuaries' Group - Climate Change,Fri| Mar 20| 12:15,Willis Towers Watson _—¢ London,https://www.eventbrite.co.uk/e/london-market-actuaries-group-climate-change-tickets-95581852895?aff=ebdssbdestsearch,"business,community"
Panel of Experts Discussing The State of Social Media in 2020 & Beyond!!!!,Fri| Feb 28| 18:30,The Wellington _—¢ London,https://www.eventbrite.co.uk/e/panel-of-experts-discussing-the-state-of-social-media-in-2020-beyond-tickets-85567541821?aff=ebdssbdestsearch,"business,science-and-tech"
LMForums Social Drinks & Networking Evening at Pitch Golf,Tomorrow at 17:30,Pitch Golf London _—¢ London,https://www.eventbrite.co.uk/e/lmforums-social-drinks-networking-evening-at-pitch-golf-tickets-92744069007?aff=ebdssbdestsearch,"business,community"
NLA Hounslow,Tue| Mar 3| 18:30,London Museum of Water & Steam _—¢ Brentford,https://www.eventbrite.co.uk/e/nla-hounslow-tickets-74882899769?aff=ebdssbdestsearch,business
DBACE 2020: London Meet & Greet,Tue| Mar 10| 10:00,MeWe360 _—¢ London,https://www.eventbrite.co.uk/e/dbace-2020-london-meet-greet-tickets-85650050607?aff=ebdssbdestsearch,"business,community"
Yoga in the clouds,Sat| Mar 14| 09:00,Shangri-La Hotel at The Shard London _—¢ London,https://www.eventbrite.co.uk/e/yoga-in-the-clouds-tickets-89101263277?aff=ebdssbdestsearch,"health,sports-and-fitness"
Psychoanalysis & Religion; trying to look beyond certainty| with Patrick Ca...,Sun| Mar 29| 14:15,Goodenough College _—¢ London,https://www.eventbrite.co.uk/e/psychoanalysis-religion-trying-to-look-beyond-certainty-with-patrick-casement-tickets-83471677033?aff=ebdssbdestsearch,"health,community"
Infection Prevention Society Joint London Branches Conference,Thu| Apr 30| 09:00,Kia Oval _—¢ London,https://www.eventbrite.co.uk/e/infection-prevention-society-joint-london-branches-conference-tickets-91552675517?aff=ebdssbdestsearch,health
Mentally Aware,Fri| Feb 28| 18:00,Southwark _—¢ Southwark,https://www.eventbrite.co.uk/e/mentally-aware-tickets-90653843085?aff=ebdssbdestsearch,"health,community"
Ruby Rare's Non-Monogamous Sharing Circle,Mon| Mar 2| 19:30,The Book Club _—¢ London,https://www.eventbrite.co.uk/e/ruby-rares-non-monogamous-sharing-circle-tickets-91545455923?aff=ebdssbdestsearch,"health,community"
SKIN lounge Open Day,Today at 14:00,Skin Lounge _—¢ Richmond,https://www.eventbrite.co.uk/e/skin-lounge-open-day-tickets-95443517129?aff=ebdssbdestsearch,health
Free Meditation,Mon| Mar 2| 18:30 + 5 more events,St Anne and All Saints _—¢ London,https://www.eventbrite.co.uk/e/free-meditation-tickets-51297644636?aff=ebdssbdestsearch,health
Sexual Assault: A Time To Care,Tomorrow at 18:00,G.79 _—¢ Waterloo,https://www.eventbrite.co.uk/e/sexual-assault-a-time-to-care-tickets-95564733691?aff=ebdssbdestsearch,"health,community"
HSC International Women's Day Celebration hosted by THREE,Wed| Mar 4| 18:30,Studio Three _—¢ London,https://www.eventbrite.co.uk/e/hsc-international-womens-day-celebration-hosted-by-three-tickets-92700376321?aff=ebdssbdestsearch,health
EPIC programme workshop,Wed| Apr 1| 10:00,British Dental Association _—¢ London,https://www.eventbrite.co.uk/e/epic-programme-workshop-tickets-95235398641?aff=ebdssbdestsearch,"health,science-and-tech"
Rum & Reggae Festival London,Sat| Apr 18| 15:00,Oval Space _—¢ London,https://www.eventbrite.co.uk/e/rum-reggae-festival-london-tickets-90766431841?aff=ebdssbdestsearch,music
Snoop Dogg - _—“I Wanna Thank Me_—ù Tour (The O2| London),Wed| Apr 15| 18:30,The O2 _—¢ London,https://www.eventbrite.co.uk/e/snoop-dogg-i-wanna-thank-me-tour-the-o2-london-tickets-73442284851?aff=ebdssbdestsearch,"music,arts,community"
FRENCH SATURDAY : AFROTRAP VS AFROBEATS,Sat| Feb 29| 20:00,Sofia's Bar & Lounge _—¢ London,https://www.eventbrite.co.uk/e/french-saturday-afrotrap-vs-afrobeats-tickets-92962638755?aff=ebdssbdestsearch,"music,community"
A Discussion on Gender Equality: Culture & Arts as Expressions of Activism,Mon| Mar 9| 19:00,Regent's University London|  Herringham Hall _—¢ London,https://www.eventbrite.co.uk/e/a-discussion-on-gender-equality-culture-arts-as-expressions-of-activism-tickets-95202508265?aff=ebdssbdestsearch,charity-and-causes
Celebration Evening,Thu| Mar 5| 18:00,British Exploring Society _—¢ London,https://www.eventbrite.co.uk/e/celebration-evening-tickets-77861579079?aff=ebdssbdestsearch,"charity-and-causes,community"
What employers look for when recruiting recent graduates,Tue| Mar 10| 17:30,New City College _—¢ London,https://www.eventbrite.co.uk/e/what-employers-look-for-when-recruiting-recent-graduates-tickets-95217699703?aff=ebdssbdestsearch,charity-and-causes
Children & Young People Network Meeting,Wed| Mar 4| 09:45,Pixton Room - Canbury Works _—¢ Kingston upon Thames,https://www.eventbrite.co.uk/e/children-young-people-network-meeting-tickets-90773813921?aff=ebdssbdestsearch,charity-and-causes
FREE Open Day For All - Drinks/Food/Craft Stands,Tue| Mar 3| 12:30,The Holy Trinity Church Hall  _—¢ Surrey,https://www.eventbrite.co.uk/e/free-open-day-for-all-drinksfoodcraft-stands-tickets-95008018541?aff=ebdssbdestsearch,"charity-and-causes,science-and-tech"
Say it Louder : A Community Initiative,Sat| Feb 29| 11:00,Brunei Gallery SOAS _—¢ London,https://www.eventbrite.co.uk/e/say-it-louder-a-community-initiative-tickets-89647485041?aff=ebdssbdestsearch,charity-and-causes
VAT made simple,Tue| Mar 10| 09:00,St Luke's Community Centre _—¢ London,https://www.eventbrite.co.uk/e/vat-made-simple-registration-72057372541?aff=ebdssbdestsearch,"charity-and-causes,business"
AMMF's  Silver Bond Place application form - Virgin London Marathon 2020,Sun| Apr 26| 10:00,Virgin Money London Marathon 2020 _—¢ London,https://www.eventbrite.co.uk/e/ammfs-silver-bond-place-application-form-virgin-london-marathon-2020-registration-69280025421?aff=ebdssbdestsearch,charity-and-causes
Rebuilding Ealing Citizens and the London Mayoral Assembly,Tue| Mar 31| 18:30,The Community Hub| Elizabeth Square _—¢ London,https://www.eventbrite.co.uk/e/rebuilding-ealing-citizens-and-the-london-mayoral-assembly-tickets-84618641635?aff=ebdssbdestsearch,charity-and-causes
Essentials of Humanitarian Practice (With credit-rated option),Mon| Jul 20| 09:00,250a Kennington Lane _—¢ London,https://www.eventbrite.co.uk/e/essentials-of-humanitarian-practice-with-credit-rated-option-tickets-89576023297?aff=ebdssbdestsearch,charity-and-causes
London Landmarks Half Marathon for KIDS Charity,Sun| Mar 29| 09:00,Pall Mall _—¢ London,https://www.eventbrite.co.uk/e/london-landmarks-half-marathon-for-kids-charity-tickets-62649087106?aff=ebdssbdestsearch,charity-and-causes
Vitality London 10|000,Mon| May 25| 07:00,London _—¢ London,https://www.eventbrite.co.uk/e/vitality-london-10000-tickets-64307525540?aff=ebdssbdestsearch,charity-and-causes
CURLYTREATS 2020 SPRING - Curly| Coily| Afro Hair Show | April 25| Saturday,Sat| Apr 25| 12:00,NOVOTEL West London  _—¢ London,https://www.eventbrite.co.uk/e/curlytreats-2020-spring-curly-coily-afro-hair-show-april-25-saturday-tickets-81792634973?aff=ebdssbdestsearch,community
HYPER JAPAN Festival 2020,Fri| Jul 10| 13:00,Olympia London _—¢ London,https://www.eventbrite.co.uk/e/hyper-japan-festival-2020-tickets-81333987145?aff=ebdssbdestsearch,community
Richard Dawkins on the Meaning of Life,Thu| May 7| 19:00,Logan Hall  (University College London) _—¢ London,https://www.eventbrite.com/e/richard-dawkins-on-the-meaning-of-life-tickets-94122985383?aff=ebdssbdestsearch,community
How to Make Decisions for an Unknowable Future | with Mervyn King,Thu| Mar 5| 18:45,Emmanuel Centre| _—¢ London,https://www.eventbrite.com/e/how-to-make-decisions-for-an-unknowable-future-with-mervyn-king-tickets-84892595037?aff=ebdssbdestsearch,community
Lightopia Festival London,Fri| Feb 28| 17:00,Chiswick House Gardens _—¢ London,https://www.eventbrite.co.uk/e/lightopia-festival-london-tickets-78591111129?aff=ebdssbdestsearch,community
The Ratline | Philippe Sands & Stephen Fry on the Trail of a Nazi Fugitive,Tue| Apr 28| 18:45,Emmanuel Centre _—¢ London,https://www.eventbrite.com/e/the-ratline-philippe-sands-stephen-fry-on-the-trail-of-a-nazi-fugitive-tickets-90594467491?aff=ebdssbdestsearch,community
An Evening with Jared Diamond | In Conversation with Matthew d_—ÈAncona,Tue| Jun 2| 18:45,Emmanuel Centre _—¢ London,https://www.eventbrite.com/e/an-evening-with-jared-diamond-in-conversation-with-matthew-dancona-tickets-94833701153?aff=ebdssbdestsearch,community
ToyCon UK 2020,Sat| Mar 14| 11:00,Novotel West London _—¢ London,https://www.eventbrite.co.uk/e/toycon-uk-2020-tickets-88594615881?aff=ebdssbdestsearch,community
Visitor Studies Group 2020 Conference,Thu| Mar 5| 09:30,Museum of London _—¢ London,https://www.eventbrite.co.uk/e/visitor-studies-group-2020-conference-tickets-79569318975?aff=ebdssbdestsearch,community
Holi Utsav 2020,Sat| Mar 7| 14:00,The Lakeview Marquee _—¢ Ilford,https://www.eventbrite.co.uk/e/holi-utsav-2020-tickets-91468784597?aff=ebdssbdestsearch,community
IWD TAKE OVER LAUNCH PARTY,Fri| Mar 6| 18:00,Ace Hotel London Shoreditch _—¢ London,https://www.eventbrite.co.uk/e/iwd-take-over-launch-party-tickets-94113162001?aff=ebdssbdestsearch,community
The Affordable Art fair| Battersea London,Wed| Mar 11| 17:30,Battersea Park _—¢ London,https://www.eventbrite.com/e/the-affordable-art-fair-battersea-london-tickets-93372725335?aff=ebdssbdestsearch,"arts,business"
Imperial Lates: Beautiful Data,Thu| Mar 12| 18:00,Imperial College London _—¢ London,https://www.eventbrite.co.uk/e/imperial-lates-beautiful-data-registration-68596434783?aff=ebdssbdestsearch,science-and-tech
Front-end London (Feb 2020),Tomorrow at 18:30,Made by Many _—¢ London,https://www.eventbrite.com/e/front-end-london-feb-2020-tickets-93970388963?aff=ebdssbdestsearch,science-and-tech
Data Science for Child Health - inaugural symposium,Tomorrow at 10:00,Great Ormond Street Institute of Child Health _—¢ London,https://www.eventbrite.co.uk/e/data-science-for-child-health-inaugural-symposium-tickets-81763058509?aff=ebdssbdestsearch,"science-and-tech,community"
Become a ReactJs Front-end developer from ZERO experience,Wed| Mar 4| 18:30,WeWork Keltan House _—¢ London,https://www.eventbrite.co.uk/e/become-a-reactjs-front-end-developer-from-zero-experience-tickets-93975036865?aff=ebdssbdestsearch,science-and-tech
Junior SOC Analyst Practical Training,Wed| Apr 22| 10:00,Trinity Laban Health _—¢ London,https://www.eventbrite.co.uk/e/junior-soc-analyst-practical-training-tickets-96656673713?aff=ebdssbdestsearch,science-and-tech
AI and Machine Learning Workshop (13-15 year olds),Mon| Apr 6| 09:00,Imperial College London _—¢ London,https://www.eventbrite.co.uk/e/ai-and-machine-learning-workshop-13-15-year-olds-tickets-94387326033?aff=ebdssbdestsearch,science-and-tech
4 Weeks Microsoft Azure training for Beginners in London | Microsoft Azure ...,Tue| Mar 10| 01:00,Ingenuity Technology _—¢ London,https://www.eventbrite.com/e/4-weeks-microsoft-azure-training-for-beginners-in-london-microsoft-azure-fundamentals-azure-cloud-tickets-92593055321?aff=ebdssbdestsearch,science-and-tech
Rough Runner - London South (Saturday),Sat| Apr 18| 09:00,Morden Park _—¢ London,https://www.eventbrite.com/e/rough-runner-london-south-saturday-tickets-86126822645?aff=ebdssbdestsearch,sports-and-fitness
CARABAO CUP: Aston Villa Fanpark,Sun| Mar 1| 11:00,BOXPARK Wembley _—¢ Wembley,https://www.eventbrite.co.uk/e/carabao-cup-aston-villa-fanpark-tickets-93108264325?aff=ebdssbdestsearch,sports-and-fitness
An Evening With Floyd Mayweather Jr,Wed| Mar 4| 19:00,York Hall Leisure Centre _—¢ London,https://www.eventbrite.co.uk/e/an-evening-with-floyd-mayweather-jr-tickets-81599631695?aff=ebdssbdestsearch,sports-and-fitness
Beyonce Dance Workshop,Sat| Mar 14| 12:30,ONE LDN - Fulham _—¢ London,https://www.eventbrite.co.uk/e/beyonce-dance-workshop-tickets-95623830451?aff=ebdssbdestsearch,"sports-and-fitness,music,arts"
Six Nations Rugby England v Wales,Sat| Mar 7| 16:45,13 Westbourne Terrace Rd _—¢ London,https://www.eventbrite.co.uk/e/six-nations-rugby-england-v-wales-tickets-91923801565?aff=ebdssbdestsearch,sports-and-fitness
Zumba,Mon| Mar 23| 17:30,The Bridge _—¢ London,https://www.eventbrite.co.uk/e/zumba-tickets-94153057329?aff=ebdssbdestsearch,"sports-and-fitness,music"
Total Bounceout Reigate,Sat| Apr 4| 10:00 + 27 more events,Priory Park _—¢ Reigate,https://www.eventbrite.co.uk/e/total-bounceout-reigate-tickets-91151020155?aff=ebdssbdestsearch,sports-and-fitness